manufacturer,model,year,mileage,engine,transmission,drivetrain,fuel_type,mpg,exterior_color,interior_color,accidents_or_damage,one_owner,personal_use_only,seller_name,seller_rating,driver_rating,driver_reviews_num,price_drop,price
Acura,ILX Hybrid 1.5L,2013,92945,"1.5L I-4 i-VTEC variable valve control, engine with 90HP",Automatic,Front-wheel Drive,Gasoline,39-38,Black,Parchment,0,0,0,Iconic Coach,,4.4,12,300,13988
Acura,ILX Hybrid 1.5L,2013,47645,1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid,39-38,Gray,Ebony,1,1,1,Kars Today,,4.4,12,,17995
Acura,ILX Hybrid 1.5L,2013,53422,1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid,39-38,Bellanova White Pearl,Ebony,0,1,1,Weiss Toyota of South County,4.3,4.4,12,500,17000
Acura,ILX Hybrid 1.5L,2013,117598,1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid,39-38,Polished Metal Metallic,,0,1,1,Apple Tree Acura,,4.4,12,675,14958
Acura,ILX Hybrid 1.5L,2013,114865,1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid,39-38,,Ebony,1,0,1,Herb Connolly Chevrolet,3.7,4.4,12,300,14498
Acura,ILX Hybrid 1.5L,2013,62042,1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid,39-38,Polished Metal Metallic,Ebony,0,0,1,Kalidy Kia,2.2,4.4,12,109,18000
Acura,ILX Hybrid 1.5L,2013,57212,1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid,39-38,Silver,Ebony,0,1,1,Ohio Car Mart,,4.4,12,,15999
Acura,ILX Hybrid 1.5L,2014,214000,111.0HP 1.5L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Front-wheel Drive,Hybrid,,White,Black,,,,,,3.7,7,,8500
Acura,ILX Hybrid 1.5L,2013,61539,1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid,39-38,Silver,,1,1,1,Napleton's Palatine Subaru,4.6,4.4,12,,16950
Acura,NSX,1993,62018,3.0L V6 24V SPFI DOHC,5-Speed Manual,,Gasoline,19-24,Formula Red,Black,0,0,0,Midwest Car Connect,,5,1,,84995
Acura,NSX Base,2020,11227,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Red,Ebony,0,0,1,Stingray Chevrolet Bartow,,3.8,2,,156890
Acura,NSX,1991,14623,3.0L V6 24V DOHC,5-Speed Manual,Rear-wheel Drive,Gasoline,,Black,,0,0,0,D & C Motor Company,3.3,4.7,3,,109990
Acura,NSX Base,2017,10814,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Red,,0,0,1,Mark Motors,,4.8,17,,139888
Acura,NSX T,2001,28734,3.2L V6 24V MPFI DOHC,6-Speed Manual,Rear-wheel Drive,Gasoline,17-24,Silver,Black,0,0,1,Vantage Auto The Collection,3.5,4.1,1,7650,169500
Acura,NSX Base,2017,15904,Twin Turbo Gas/Electric V-6 3.5 L/213,Automatic,All-wheel Drive,Hybrid,21-22,130R White,Ebony,0,0,1,Piazza Acura / Honda of Reading,4.7,4.8,17,2111,139876
Acura,NSX T,1998,82602,3.2L V6 24V MPFI DOHC,6-Speed Manual,Rear-wheel Drive,Gasoline,17-24,Formula Red,Tan,0,0,1,Diamond Motorworks,4.5,4.9,1,1000,124800
Acura,NSX,1991,77417,3.0L V6 24V DOHC,5-Speed Manual,Rear-wheel Drive,Gasoline,,Red,Black,0,0,0,Acura of Boston,4.8,4.7,3,111,79888
Acura,NSX T,1995,320000,,5-Speed M/T,Rear-wheel Drive,,,Red,Black,,,,,,5,3,,75500
Acura,NSX Base,2018,12375,573.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Transmission w/Dual Shift Mode,All-wheel Drive,Hybrid,,White,Red,,,,,,5,1,,129999
Acura,NSX Base,2022,1447,"3.5L V-6 port/direct injection, DOHC, VTC variable valve control",Automatic,All-wheel Drive,Gasoline,21-22,Berlina Black,Black,0,1,1,European Exotic Center,,,0,5000,254995
Acura,NSX Base,2017,3501,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Red,,0,1,1,Velocity Auto Sales,,4.8,17,1000,169995
Acura,NSX Base,2021,676,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,130R White,,0,1,1,Arapahoe KIA,1.8,,0,,164599
Acura,NSX Base,2017,0,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Curva Red,Red,0,0,0,Acura of Limerick,,4.8,17,190,177084
Acura,NSX Type S,2022,119,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Gray,Red,0,0,1,Ferrari Maserati Alfa Romeo of Fort Lauderdale,4.8,,0,14000,299900
